available;categoryId;currencyId;description;id;modified_time;name;oldprice;param;picture;price;type;url;vendor
true;Мужское/Обувь/Кеды;RUR;Верх - канвас, подкладка - канвас, низ - резина;254291;1622278920;MARICE LACE URS;6480.00;Артикул:729SPM2021|Категория:Кеды|Размер:9.5, 10|Цвет:белый|Пол:Мужской;https://lacoste.ru/upload/photo/1476/729SPM2021X96.jpg;3888;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkedy-obuv-muzhchiny%2Fmarice_lace_urs_color_X96%2F;Lacoste
true;Женское/Одежда/Блузы и рубашки;RUR;Детали: женская рубашка с логотипом Lacoste в тон изделия   \ Материал: 52% вискоза 48% купро \ Страна производства: Турция;292141;1622278920;Рубашка Lacoste Regular fit;9480.00;Артикул:QF0801|Категория:Рубашка|Размер:40, 42|Цвет:серый|Пол:Женский;https://lacoste.ru/upload/photo/1476/QF080101M.jpg;4740;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fbluzy-i-rubashki-zhenshchiny%2Frubashka_lacoste_regular_fit_194_color_01M%2F;Lacoste
true;Мужское/Одежда/Рубашки;RUR;100% хлопок;348666;1622278920;Рубашка Lacoste;9980.00;Артикул:CH0704|Категория:Рубашка|Размер:41, 43|Цвет:темно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/CH0704166.jpg;5988;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Frubashki-muzhchiny%2Frubashka_lacoste_180_color_166%2F;Lacoste
true;Мужское/Обувь/Кеды;RUR;Верх - 89% искусственная кожа 11% кожа,подкладка - 100% текстиль,низ - 100% резина;355743;1622278920;CHAYMON BL 1 CMA;13780.00;Артикул:737CMA0094|Категория:Кеды|Размер:9, 9.5, 10, 10.5|Пол:Мужской;https://lacoste.ru/upload/photo/1476/737CMA009421G.jpg;8268;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkedy-obuv-muzhchiny%2Fchaymon_bl_1_cma_color_21G%2F;Lacoste
true;Женское/Обувь/Кеды;RUR;Верх - 94% нат.кожа 6% полиуретан, подкладка - 100% полиэстер, низ - 100% резина;355764;1622278920;CARNABY EVO STRAP1191SFA;14980.00;Артикул:737SFA0024|Категория:Кеды|Размер:4, 35|Пол:Женский;https://lacoste.ru/upload/photo/1476/737SFA0024LB2.jpg;7490;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkedy-zhenshchiny%2Fcarnaby_evo_strap1191sfa_color_LB2%2F;Lacoste
true;Женское/Одежда/Платья и юбки;RUR;"Детали: эластичный воротник на молнии;\Манжеты и пояс с эластичной резинкой;\Прорезные карманы;\Вышитый логотип Lacoste\Материал: 100% полиэстер";357358;1622278920;Платье Lacoste;21480.00;Артикул:EF4349|Категория:Платье|Размер:34, 38|Цвет:темно-синий|Пол:Женский;https://lacoste.ru/upload/photo/1476/EF43497NB.jpg;12888;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fplatya-i-yubki-zhenshchiny%2Fplate_lacoste_353_color_7NB%2F;Lacoste
true;Женское/Обувь/Кеды;RUR;Верх - 82% канвас 10% кожа 8% замша , Подкладка - 100% канвас ,Подошва - 100% резина;358856;1622278920;SIDELINE 119 1 CFA;9980.00;Артикул:737CFA0042|Категория:Кеды|Размер:4, 6|Пол:Женский;https://lacoste.ru/upload/photo/1476/737CFA00422K7.jpg;4990;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkedy-zhenshchiny%2Fsideline_119_1_cfa_color_2K7%2F;Lacoste
true;Женское/Обувь/Кеды;RUR;Верх - 100% канвас, подкладка - 100% канвас, низ - 100% резина;360961;1622278920;ZIANE CHUNKY BL 2 CFA;7480.00;Артикул:737CFA0064|Категория:Кеды|Размер:3, 6, 6.5, 35|Цвет:белый|Пол:Женский;https://lacoste.ru/upload/photo/1476/737CFA006421G.jpg;4488;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkedy-zhenshchiny%2Fziane_chunky_bl_2_cfa_color_21G%2F;Lacoste
true;Мужское/Обувь/Кеды;RUR;Верх - 82% канвас 10% нат.кожа 8% замша, подкладка - 100 %  канвас, низ - резина 100%;361899;1622278920;SIDELINE 119 1 CMA;8480.00;Артикул:737CMA0066|Категория:Кеды|Размер:9.5, 10.5|Цвет:темно-синий|Пол:Мужской;https://lacoste.ru/upload/photo/1476/737CMA0066J18.jpg;5088;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkedy-obuv-muzhchiny%2Fsideline_119_1_cma_color_J18%2F;Lacoste
true;Женское/Одежда/Верхняя одежда;RUR;100% хлопок;362111;1622278920;Куртка Lacoste;27900.00;Артикул:BF4168|Категория:Куртка|Размер:44|Цвет:синий|Пол:Женский;https://lacoste.ru/upload/photo/1476/BF4168X0U.jpg;13950;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fverkhnyaya-odezhda-zhenshchiny%2Fkurtka_lacoste_417_color_X0U%2F;Lacoste
true;Детское;RUR;100% хлопок;363641;1622278920;Платье Lacoste;7480.00;Артикул:EJ4545|Категория:Платье|Размер:4A, 6A, 10A|Пол:Мужской;https://lacoste.ru/upload/photo/1476/EJ4545522.jpg;3740;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fdeti%2Fplate_lacoste_378_color_522%2F;Lacoste
true;Мужское/Обувь/Кеды;RUR;Верх - 82% канвас 10% нат.кожа 8% замша, подкладка - 100 %  канвас, низ - резина 100%;361909;1622278920;SIDELINE 119 1 CMA;8480.00;Артикул:737CMA0066|Категория:Кеды|Размер:8, 8.5, 9, 9.5, 10|Пол:Мужской;https://lacoste.ru/upload/photo/1476/737CMA0066WN1.jpg;5088;;https://ad.admitad.com/g/f446ccbb45b1853a8733d5f2d2f9d4/?i=5&f_id=7775&ulp=https%3A%2F%2Flacoste.ru%2Fcatalog%2Fkedy-obuv-muzhchiny%2Fsideline_119_1_cma_color_WN1%2F;Lacoste
